Model,img
BMW X5,https://prod.cosy.bmw.cloud/bmvis/cosySec?COSY-EU-100-2545J3qAHyFnz5cRoHSWRzMESDsVcRoH7QRzMESV59VMb3G6bUJ1rjGRPixrQbUoaFoGq0zdgt7Rl38mrjGm7SErQbCUQMs2q0zRERW8J13882q0zAaGbbl382hhq0zkRNSQBL4QSW8zLAd8W8J1ExSnQNUMESQdoBo3UQqoQEdcNq0zkdHNqoQqRrjGzIEtN3WCIqx8W8zWu3ndqogqaR2%25l3ilUQ4jcRScH8R4MbnMdo13yJGy536nrQ%25r9R1HW8zWubxdqogqaJh0l3ilUjdocRScH7o3MbnMd0B9yJGy5BgQrQ%25r9YdFW8zWuEfGqogqaGH8l3ilU%25ddcRScHzQBMbnMdg89yJGy5ioBrQ%25r9SbUW8zWunJjqogqaGQFl3ilU%254JcRScHzesMbnMdg7oyJGy5i0BrQ%25r9SDGW8zWun9IqogqaGIvl3ilU%25vecRScHzN7MbnMdgCEyJGy5msbrQ%25r9sRnW8zWuKbIqogqaDJyl3ilUCGpcRScHbeiMbnMdJ70yJGy5Q3drQ%25r98R9W8zWuobSqogqa3Gzl3ilUR3AcRScHb6oMbnMdJCYyJGy5Q4BrQ%25r993UW8zWuuRCqogqaaRdl3ilUUHecRScHHdQMbnMddAzyJGy55EurQ%25r90gbW8zWuBAuqoQLds3%251UMESQJaCMb3Vq0zoaDHdl38vontCcYiGb8l38NrjGl3guUHqoQUyFnHm
BMW M8,"https://cache.bmwusa.com/cosy.arox?pov=walkaround&brand=WBBM&vehicle=258L&client=byoc&paint=P0300&fabric=FLKSW&sa=S01MA,S01TH,S0302,S0319,S0322,S03MF,S0415,S0416,S0453,S04GQ,S04HB,S04MC,S04NB,S05AC,S05AZ,S06AC,S06AK,S06C4,S06NW,S06U3,S06WD,S0712,S0760,S0776,S07M9,S07MA&angle=30"
BMW iX,https://bmw.astra.co.id/wp-content/uploads/2022/08/ix.png
BMW i8,https://cdn-www.pod-point.com/i8-coupe-white-background.jpg?v=1548764851
BMW i3,https://cdn.jdpower.com/Models/640x480/2015-BMW-i3-Base.jpg
BMW Z4,https://www.bmw.co.id/content/dam/bmw/common/all-models/z-series/roadster/2022/highlights/bmw-z-series-z4-roadster-ms-aerodynamic.jpg
BMW 4 Series,https://www.bmw.co.uk/content/dam/bmw/common/all-models/4-series/gran-coupe/2024/navigation/bmw-4-series-gran-coupe-modelfinder.png
BMW X3,https://images.dealer.com/ddc/vehicles/2024/BMW/X3/SUV/still/front-left/front-left-640-en_US.jpg
BMW X7,https://prod.cosy.bmw.cloud/bmvis/cosySec?COSY-EU-100-2545J3qAHyFnz5cRoHSWRzMESVDbIHyJR5BoJirjGpuaprQbzAQd82q0zJXnTqoQdRH7RzcYi9t5EFMb3Kq0zKBGjqoQedorDNcYiJjJl382b33NcYitH%25emMb3NZZcYiwJ6GoExmoGl3ixt93l382jTG%25o6drjGo9RbUEJecRoj9y6cYiw956cRocJq0zqaRu3l3ilUQI8cRScH8ZuMbnMdoPeyJGy53LlrQ%25r9Y3CW8zWuEJjqogqaFQFl3ilUjQzcRScH78IMbnMd0zJyJGy5BHErQ%25r9YpHW8zWunUUqogqaGb7l3ilU%25JdcRScHzo9MbnMdg3YyJGy5iRBrQ%25r9SnbW8zWunDjqogqaGCbl3ilU%25QocRScHzUAMbnMdg43yJGy5ieUrQ%25r9SpDW8zWun8kqogqaGo3l3ilU%25tdcRScHzDmMbnMdeB8yJGy5m3erQ%25r9siwW8zWuon%25qogqa3uJl3ilUR3AcRScHbDBMbnMdJC0yJGy55oarQ%25r99FcW8zWu2bJqogqaIn4l3ilU6uacRox9Dbg2drjGo8HprQbpcYiRH459Mb3VR%25IeyFnzQ3Mb36q0zMbSUd5cRodW7%255K
BMW 3 Series,https://www.bmw-ghana.com/content/dam/bmw/common/all-models/3-series/sedan/2022/navigation/bmw-3-series-sedan-lci-modelfinder.png
BMW 1 Series,https://www.bmw.co.za/content/dam/bmw/common/all-models/m-series/m135i/2024/navigation/bmw-1-series-m135-xdrive-modelfinder.png
