Date,Year,Model,Revenue,Quantity Sold,Region,Country,Channel
17/01/2019,2019,BMW 8 Series,53898,5,Africa,Egypt,Wholesale
17/01/2019,2019,BMW 2 Series,77937,5,South America,Brazil,Dealership
,,,,,,,
18/01/2019,2019,BMW i3,66388,2,Asia,China,Wholesale
18/01/2019,2019,BMW 5 Series,118627,2,North America,Mexico,Dealership
18/01/2019,2019,BMW 5 Series,112462,1,Africa,Egypt,Wholesale
19/01/2019,2019,BMW Z4,64030,3,Africa,Egypt,Dealership
19/01/2019,2019,BMW i3,91913,2,South America,Argentina,Wholesale
19/01/2019,2019,BMW 5 Series,53184,5,North America,Mexico,Dealership
19/01/2019,2019,BMW 2 Series,76721,1,Asia,Japan,Wholesale
,,,,,,,
19/01/2019,2019,BMW 4 Series,103236,3,Asia,Japan,Wholesale
,,,,,,,
20/01/2019,2019,BMW i3,72296,1,Europe,Italy,Dealership
20/01/2019,2019,BMW M4,34286,5,South America,Chile,Dealership
21/01/2019,2019,BMW i3,117156,3,South America,Colombia,Wholesale
21/01/2019,2019,BMW M8,73639,3,North America,Canada,Wholesale
21/01/2019,2019,BMW 6 Series,60431,2,South America,Argentina,Wholesale
21/01/2019,2019,BMW M5,92363,4,Africa,Egypt,Dealership
21/01/2019,2019,BMW iX3,45072,5,Europe,Germany,Wholesale
21/01/2019,2019,BMW 6 Series,40916,4,Africa,South Africa,Wholesale
22/01/2019,2019,BMW 7 Series,77369,5,South America,Colombia,Wholesale
22/01/2019,2019,BMW iX3,48946,1,North America,United States,Wholesale
23/01/2019,2019,BMW 6 Series,51863,4,South America,Peru,Dealership
23/01/2019,2019,BMW Z4,90064,3,Europe,Germany,Wholesale
24/01/2019,2019,BMW X5,90656,2,Europe,France,Wholesale
24/01/2019,2019,BMW M8,53545,5,Europe,United Kingdom,Wholesale
24/01/2019,2019,BMW X1,54019,2,Africa,Kenya,Wholesale
25/01/2019,2019,BMW M2,86625,5,Europe,Germany,Dealership
26/01/2019,2019,BMW 5 Series,81701,3,North America,United States,Wholesale
27/01/2019,2019,BMW M2,57386,3,South America,Brazil,Wholesale
28/01/2019,2019,BMW 7 Series,105769,3,Asia,India,Dealership
28/01/2019,2019,BMW X2,47822,3,Africa,Kenya,Wholesale
28/01/2019,2019,BMW M2,105462,3,South America,Brazil,Wholesale
28/01/2019,2019,BMW M5,70023,2,Europe,United Kingdom,Wholesale
28/01/2019,2019,BMW M3,85878,1,Europe,France,Wholesale
29/01/2019,2019,BMW i3,77984,4,South America,Argentina,Wholesale
29/01/2019,2019,BMW 5 Series,86577,2,North America,Canada,Wholesale
29/01/2019,2019,BMW X4,106369,4,Africa,Egypt,Dealership
29/01/2019,2019,BMW X2,80929,1,South America,Brazil,Dealership
30/01/2019,2019,BMW iX3,57081,5,Asia,China,Wholesale
30/01/2019,2019,BMW X3,32751,1,Africa,Nigeria,Dealership
31/01/2019,2019,BMW M4,70194,1,Africa,Egypt,Dealership
31/01/2019,2019,BMW X1,88479,5,Africa,Kenya,Dealership
31/01/2019,2019,BMW 4 Series,56953,4,Africa,Kenya,Wholesale
,,,,,,,
31/01/2019,2019,BMW X2,48642,3,Asia,China,Wholesale
31/01/2019,2019,BMW X5,81176,5,Asia,Japan,Wholesale
31/01/2019,2019,BMW X7,51863,5,North America,Mexico,Wholesale
31/01/2019,2019,BMW i4,48114,1,Europe,France,Dealership
01/02/2019,2019,BMW X5,86843,5,Africa,Morocco,Dealership
01/02/2019,2019,BMW i4,72563,2,Europe,Spain,Wholesale
01/02/2019,2019,BMW 4 Series,60373,3,Europe,United Kingdom,Wholesale
,,,,,,,
01/02/2019,2019,BMW 6 Series,108104,1,Europe,Spain,Wholesale
01/02/2019,2019,BMW X4,94746,4,Asia,South Korea,Wholesale
01/02/2019,2019,BMW X5,116973,4,North America,United States,Dealership
02/02/2019,2019,BMW 3 Series,77470,4,South America,Brazil,Wholesale
,,,,,,,
02/02/2019,2019,BMW X5,75760,4,Asia,China,Dealership
03/02/2019,2019,BMW X3,109449,4,Africa,Kenya,Wholesale
03/02/2019,2019,BMW 1 Series,73884,1,Asia,India,Wholesale
,,,,,,,
03/02/2019,2019,BMW 5 Series,35565,2,Europe,United Kingdom,Wholesale
03/02/2019,2019,BMW iX3,116488,2,Africa,South Africa,Wholesale
03/02/2019,2019,BMW X6,107554,4,Asia,Japan,Wholesale
04/02/2019,2019,BMW 5 Series,51340,2,South America,Argentina,Wholesale
04/02/2019,2019,BMW X3,108651,3,South America,Peru,Wholesale
05/02/2019,2019,BMW M4,61772,2,South America,Chile,Dealership
06/02/2019,2019,BMW 4 Series,112888,5,North America,Canada,Dealership
,,,,,,,
06/02/2019,2019,BMW 7 Series,88975,4,Asia,Japan,Dealership
06/02/2019,2019,BMW i4,111344,5,Europe,France,Wholesale
07/02/2019,2019,BMW i3,36918,5,Asia,India,Wholesale
07/02/2019,2019,BMW X3,80711,4,South America,Brazil,Dealership
07/02/2019,2019,BMW X2,60070,1,North America,Mexico,Dealership
07/02/2019,2019,BMW 4 Series,43366,2,North America,United States,Wholesale
,,,,,,,
08/02/2019,2019,BMW X1,39200,3,Asia,China,Dealership
08/02/2019,2019,BMW M3,89151,1,Asia,Japan,Dealership
08/02/2019,2019,BMW X5,53226,3,Africa,Morocco,Wholesale
08/02/2019,2019,BMW X5,116891,4,Asia,Thailand,Wholesale
08/02/2019,2019,BMW Z4,90085,2,Europe,Germany,Wholesale
08/02/2019,2019,BMW M4,53486,1,Europe,United Kingdom,Dealership
09/02/2019,2019,BMW iX,34700,4,Europe,Germany,Wholesale
09/02/2019,2019,BMW M4,111863,1,Asia,South Korea,Dealership
09/02/2019,2019,BMW M4,37988,5,South America,Colombia,Wholesale
10/02/2019,2019,BMW 7 Series,31634,2,Africa,South Africa,Wholesale
10/02/2019,2019,BMW 4 Series,94052,2,South America,Argentina,Wholesale
,,,,,,,
10/02/2019,2019,BMW i3,73352,4,Europe,United Kingdom,Wholesale
11/02/2019,2019,BMW X6,90634,4,Asia,India,Dealership
11/02/2019,2019,BMW X7,75939,4,Africa,Morocco,Wholesale
11/02/2019,2019,BMW i8,95327,2,Europe,Germany,Dealership
13/02/2019,2019,BMW X4,117498,5,South America,Peru,Dealership
13/02/2019,2019,BMW iX3,100938,2,Europe,Spain,Wholesale
13/02/2019,2019,BMW i8,36900,4,North America,Canada,Wholesale
14/02/2019,2019,BMW M4,49332,3,Africa,South Africa,Wholesale
14/02/2019,2019,BMW X2,100672,5,Asia,China,Wholesale
15/02/2019,2019,BMW X3,101627,2,North America,Canada,Wholesale
15/02/2019,2019,BMW 7 Series,98203,3,South America,Brazil,Dealership
15/02/2019,2019,BMW 8 Series,118499,5,Asia,Japan,Dealership
15/02/2019,2019,BMW M2,85943,2,Asia,Japan,Wholesale
16/02/2019,2019,BMW 1 Series,36221,4,South America,Brazil,Dealership
,,,,,,,
16/02/2019,2019,BMW M3,51788,2,North America,Canada,Wholesale
16/02/2019,2019,BMW 7 Series,59350,5,Asia,Thailand,Wholesale
17/02/2019,2019,BMW 7 Series,43264,4,Africa,Nigeria,Wholesale
17/02/2019,2019,BMW i4,60816,1,North America,United States,Wholesale
17/02/2019,2019,BMW X1,37426,3,South America,Peru,Wholesale
18/02/2019,2019,BMW 3 Series,44287,4,Europe,Spain,Dealership
,,,,,,,
18/02/2019,2019,BMW 7 Series,119622,4,Asia,India,Wholesale
18/02/2019,2019,BMW X6,78659,5,Asia,India,Dealership
19/02/2019,2019,BMW X6,91852,5,Africa,Nigeria,Wholesale
19/02/2019,2019,BMW iX3,42583,3,Europe,Germany,Wholesale
19/02/2019,2019,BMW i8,67455,5,Europe,United Kingdom,Wholesale
19/02/2019,2019,BMW X4,102454,4,Asia,India,Wholesale
19/02/2019,2019,BMW X5,113401,3,Europe,Italy,Wholesale
20/02/2019,2019,BMW i8,63314,3,South America,Colombia,Wholesale
20/02/2019,2019,BMW i8,42134,2,Europe,United Kingdom,Dealership
20/02/2019,2019,BMW i8,67525,4,Africa,Kenya,Wholesale
20/02/2019,2019,BMW M4,90345,4,Africa,Morocco,Wholesale
21/02/2019,2019,BMW 2 Series,63617,5,North America,Mexico,Wholesale
,,,,,,,
21/02/2019,2019,BMW 2 Series,93444,4,Europe,United Kingdom,Wholesale
,,,,,,,
21/02/2019,2019,BMW X6,113489,5,Africa,Kenya,Wholesale
21/02/2019,2019,BMW i4,36487,4,Europe,Italy,Wholesale
22/02/2019,2019,BMW M8,84890,2,Europe,Spain,Wholesale
22/02/2019,2019,BMW X5,86865,4,Asia,Japan,Wholesale
22/02/2019,2019,BMW iX3,76295,2,Africa,Nigeria,Wholesale
23/02/2019,2019,BMW X5,117702,4,Asia,China,Wholesale
24/02/2019,2019,BMW 6 Series,80294,4,Asia,Thailand,Wholesale
24/02/2019,2019,BMW X2,108959,1,North America,Mexico,Wholesale
24/02/2019,2019,BMW M4,106844,4,Africa,Nigeria,Dealership
25/02/2019,2019,BMW 5 Series,81564,2,North America,Mexico,Wholesale
25/02/2019,2019,BMW X4,35804,3,South America,Chile,Dealership
26/02/2019,2019,BMW X6,78643,2,Africa,Kenya,Wholesale
27/02/2019,2019,BMW 2 Series,119063,4,North America,Mexico,Dealership
,,,,,,,
27/02/2019,2019,BMW i8,64635,5,South America,Argentina,Wholesale
27/02/2019,2019,BMW 8 Series,43068,1,South America,Colombia,Wholesale
28/02/2019,2019,BMW X6,92306,5,Africa,Morocco,Wholesale
28/02/2019,2019,BMW X4,97639,1,Asia,India,Wholesale
28/02/2019,2019,BMW X5,34163,1,North America,Canada,Dealership
02/03/2019,2019,BMW Z4,65169,5,North America,Canada,Wholesale
02/03/2019,2019,BMW X6,46515,4,Africa,Nigeria,Wholesale
03/03/2019,2019,BMW 4 Series,101533,2,Africa,Kenya,Dealership
,,,,,,,
03/03/2019,2019,BMW X2,89432,5,North America,United States,Wholesale
03/03/2019,2019,BMW Z4,115343,3,South America,Argentina,Wholesale
04/03/2019,2019,BMW 3 Series,114463,1,Africa,Morocco,Wholesale
,,,,,,,
04/03/2019,2019,BMW iX,97741,2,South America,Peru,Wholesale
04/03/2019,2019,BMW 5 Series,109517,3,Asia,China,Dealership
04/03/2019,2019,BMW X7,72018,2,North America,Canada,Wholesale
05/03/2019,2019,BMW i4,92546,4,North America,Canada,Dealership
05/03/2019,2019,BMW 6 Series,110490,3,North America,Canada,Dealership
05/03/2019,2019,BMW 7 Series,106167,5,Europe,Germany,Dealership
06/03/2019,2019,BMW X4,107179,2,South America,Argentina,Dealership
07/03/2019,2019,BMW 8 Series,59292,5,North America,Canada,Wholesale
07/03/2019,2019,BMW Z4,88990,5,Africa,South Africa,Wholesale
07/03/2019,2019,BMW 4 Series,58949,2,Europe,Italy,Dealership
,,,,,,,
07/03/2019,2019,BMW i3,86964,2,Africa,Kenya,Dealership
08/03/2019,2019,BMW 7 Series,97541,1,Africa,Kenya,Dealership
08/03/2019,2019,BMW M2,97419,1,Europe,France,Wholesale
08/03/2019,2019,BMW 2 Series,64527,3,Africa,South Africa,Dealership
,,,,,,,
08/03/2019,2019,BMW i3,58385,3,South America,Argentina,Wholesale
08/03/2019,2019,BMW 7 Series,68913,3,Asia,Japan,Dealership
09/03/2019,2019,BMW M3,104861,1,Asia,Thailand,Wholesale
09/03/2019,2019,BMW iX,74133,5,Africa,Nigeria,Wholesale
10/03/2019,2019,BMW i8,101484,4,Africa,Egypt,Dealership
10/03/2019,2019,BMW 6 Series,89481,4,South America,Chile,Wholesale
10/03/2019,2019,BMW 4 Series,44227,2,Africa,Egypt,Wholesale
,,,,,,,
11/03/2019,2019,BMW X3,105969,1,North America,Mexico,Dealership
11/03/2019,2019,BMW X2,96042,2,North America,Mexico,Dealership
12/03/2019,2019,BMW 1 Series,65271,4,North America,United States,Wholesale
,,,,,,,
12/03/2019,2019,BMW 1 Series,112594,2,Asia,South Korea,Wholesale
,,,,,,,
12/03/2019,2019,BMW M5,105653,1,South America,Argentina,Wholesale
12/03/2019,2019,BMW X3,55775,1,North America,Mexico,Wholesale
13/03/2019,2019,BMW Z4,45014,1,South America,Peru,Dealership
13/03/2019,2019,BMW 4 Series,69314,4,Europe,Italy,Wholesale
,,,,,,,
14/03/2019,2019,BMW i4,63336,1,Asia,China,Wholesale
14/03/2019,2019,BMW X5,90690,3,South America,Peru,Wholesale
14/03/2019,2019,BMW 5 Series,56627,3,Europe,Germany,Wholesale
15/03/2019,2019,BMW 6 Series,37587,1,Africa,Kenya,Wholesale
15/03/2019,2019,BMW M8,73023,3,South America,Colombia,Wholesale
15/03/2019,2019,BMW 7 Series,64229,1,South America,Brazil,Wholesale
15/03/2019,2019,BMW M8,32870,4,Asia,Thailand,Wholesale
15/03/2019,2019,BMW X4,77457,3,North America,Canada,Wholesale
16/03/2019,2019,BMW 1 Series,65500,4,South America,Peru,Wholesale
,,,,,,,
16/03/2019,2019,BMW X1,119547,3,Europe,United Kingdom,Dealership
16/03/2019,2019,BMW 5 Series,93503,5,South America,Brazil,Dealership
17/03/2019,2019,BMW M4,92237,5,South America,Colombia,Wholesale
18/03/2019,2019,BMW 5 Series,117694,4,Africa,Egypt,Wholesale
18/03/2019,2019,BMW i4,102378,3,Africa,Nigeria,Dealership
18/03/2019,2019,BMW X2,41423,5,Europe,Spain,Dealership
19/03/2019,2019,BMW iX,49039,1,Asia,China,Wholesale
19/03/2019,2019,BMW i8,64511,2,North America,Canada,Wholesale
20/03/2019,2019,BMW X6,109798,5,North America,United States,Wholesale
20/03/2019,2019,BMW X6,53583,5,Africa,South Africa,Dealership
20/03/2019,2019,BMW X4,52765,1,South America,Brazil,Wholesale
20/03/2019,2019,BMW Z4,106730,5,North America,United States,Wholesale
20/03/2019,2019,BMW X3,94546,5,North America,United States,Wholesale
20/03/2019,2019,BMW 7 Series,69530,5,Europe,Spain,Wholesale
20/03/2019,2019,BMW X3,58111,3,North America,United States,Wholesale
20/03/2019,2019,BMW iX3,31076,5,South America,Chile,Wholesale
21/03/2019,2019,BMW 2 Series,106752,2,North America,Mexico,Dealership
,,,,,,,
22/03/2019,2019,BMW M3,44567,3,Europe,Spain,Wholesale
23/03/2019,2019,BMW 6 Series,70289,3,South America,Argentina,Wholesale
23/03/2019,2019,BMW 3 Series,63299,4,North America,Mexico,Dealership
,,,,,,,
23/03/2019,2019,BMW 2 Series,54463,5,Europe,France,Wholesale
,,,,,,,
23/03/2019,2019,BMW X2,107195,2,Europe,Germany,Wholesale
24/03/2019,2019,BMW X2,80978,2,North America,Canada,Wholesale
25/03/2019,2019,BMW i3,61852,4,South America,Colombia,Wholesale
25/03/2019,2019,BMW X4,76779,2,Asia,India,Dealership
26/03/2019,2019,BMW X7,58333,3,North America,Mexico,Wholesale
26/03/2019,2019,BMW iX,41629,1,Asia,India,Dealership
26/03/2019,2019,BMW 6 Series,68648,3,Europe,Germany,Wholesale
26/03/2019,2019,BMW 1 Series,102681,1,Europe,Spain,Wholesale
,,,,,,,
26/03/2019,2019,BMW i4,62919,2,Europe,Spain,Wholesale
26/03/2019,2019,BMW X1,84289,5,South America,Chile,Wholesale
27/03/2019,2019,BMW X3,85441,1,Asia,Thailand,Wholesale
27/03/2019,2019,BMW M8,119294,3,South America,Chile,Wholesale
27/03/2019,2019,BMW X5,76809,3,Asia,South Korea,Wholesale
27/03/2019,2019,BMW M4,106031,3,Africa,Egypt,Wholesale
27/03/2019,2019,BMW i4,68875,3,Asia,China,Wholesale
28/03/2019,2019,BMW 5 Series,42069,4,Africa,Nigeria,Dealership
28/03/2019,2019,BMW i3,93726,2,Asia,Japan,Dealership
28/03/2019,2019,BMW X3,114682,5,Europe,Spain,Wholesale
28/03/2019,2019,BMW i8,49887,4,Europe,United Kingdom,Dealership
29/03/2019,2019,BMW 8 Series,30605,2,North America,United States,Wholesale
29/03/2019,2019,BMW X3,107952,1,Asia,South Korea,Wholesale
30/03/2019,2019,BMW M8,84697,4,South America,Chile,Wholesale
30/03/2019,2019,BMW M2,83649,4,South America,Peru,Wholesale
31/03/2019,2019,BMW X2,114559,4,Africa,Morocco,Dealership
31/03/2019,2019,BMW X6,73426,4,Asia,Japan,Wholesale
31/03/2019,2019,BMW X2,71682,1,Africa,Kenya,Wholesale
01/04/2019,2019,BMW X5,73388,3,Asia,Japan,Dealership
01/04/2019,2019,BMW X7,80142,4,Africa,Nigeria,Dealership
01/04/2019,2019,BMW i8,90049,2,South America,Argentina,Wholesale
02/04/2019,2019,BMW M2,100540,3,South America,Chile,Wholesale
02/04/2019,2019,BMW X1,90361,1,Asia,Japan,Wholesale
03/04/2019,2019,BMW 1 Series,64519,5,Europe,Spain,Dealership
,,,,,,,
03/04/2019,2019,BMW i8,118992,1,Africa,Nigeria,Wholesale
05/04/2019,2019,BMW M5,88353,5,South America,Chile,Wholesale
05/04/2019,2019,BMW i4,69648,2,Asia,India,Wholesale
05/04/2019,2019,BMW 3 Series,33573,5,South America,Colombia,Wholesale
,,,,,,,
05/04/2019,2019,BMW 4 Series,106859,4,Africa,Nigeria,Wholesale
,,,,,,,
05/04/2019,2019,BMW i4,91599,3,South America,Chile,Wholesale
05/04/2019,2019,BMW 8 Series,103965,3,South America,Argentina,Wholesale
06/04/2019,2019,BMW 4 Series,110373,4,Asia,China,Wholesale
,,,,,,,
06/04/2019,2019,BMW 5 Series,65377,3,South America,Peru,Wholesale
07/04/2019,2019,BMW iX3,116923,1,Europe,Spain,Wholesale
07/04/2019,2019,BMW M4,114728,4,Asia,Japan,Wholesale
07/04/2019,2019,BMW 8 Series,72986,4,Europe,Spain,Wholesale
07/04/2019,2019,BMW X4,53810,3,Europe,Spain,Wholesale
07/04/2019,2019,BMW i8,69768,5,Asia,China,Dealership
08/04/2019,2019,BMW X3,60100,2,Asia,Thailand,Wholesale
08/04/2019,2019,BMW i8,112871,5,Africa,Morocco,Wholesale
08/04/2019,2019,BMW 6 Series,91264,1,South America,Chile,Wholesale
09/04/2019,2019,BMW X1,67269,4,North America,United States,Wholesale
09/04/2019,2019,BMW 4 Series,79781,4,Asia,Japan,Dealership
,,,,,,,
09/04/2019,2019,BMW X6,89113,1,North America,United States,Wholesale
09/04/2019,2019,BMW 7 Series,79190,2,South America,Argentina,Dealership
09/04/2019,2019,BMW M4,33646,4,North America,United States,Wholesale
10/04/2019,2019,BMW i3,88413,5,North America,Canada,Dealership
10/04/2019,2019,BMW X7,84626,1,Africa,Morocco,Wholesale
10/04/2019,2019,BMW Z4,103750,4,North America,Canada,Dealership
12/04/2019,2019,BMW iX,48001,5,North America,Canada,Wholesale
12/04/2019,2019,BMW 7 Series,105043,1,Africa,Morocco,Wholesale
13/04/2019,2019,BMW iX,95039,1,Europe,Germany,Dealership
13/04/2019,2019,BMW 1 Series,38360,1,Africa,Kenya,Dealership
,,,,,,,
14/04/2019,2019,BMW iX,57014,2,Asia,India,Wholesale
15/04/2019,2019,BMW 5 Series,115658,1,Africa,Kenya,Wholesale
15/04/2019,2019,BMW 6 Series,34909,3,North America,Mexico,Wholesale
15/04/2019,2019,BMW 3 Series,107090,3,Africa,Kenya,Wholesale
,,,,,,,
16/04/2019,2019,BMW Z4,62007,1,Europe,Germany,Dealership
16/04/2019,2019,BMW X7,112141,4,South America,Brazil,Wholesale
17/04/2019,2019,BMW X1,117691,3,Africa,Morocco,Dealership
17/04/2019,2019,BMW 7 Series,112990,5,Europe,Germany,Wholesale
17/04/2019,2019,BMW 4 Series,78556,5,South America,Chile,Wholesale
,,,,,,,
17/04/2019,2019,BMW X5,93177,4,Africa,Egypt,Wholesale
17/04/2019,2019,BMW X7,98495,5,Africa,Morocco,Dealership
18/04/2019,2019,BMW 5 Series,44559,4,Asia,Japan,Dealership
19/04/2019,2019,BMW 8 Series,110919,5,Africa,Kenya,Wholesale
19/04/2019,2019,BMW X3,66963,1,South America,Chile,Dealership
19/04/2019,2019,BMW i8,101521,5,North America,Mexico,Dealership
20/04/2019,2019,BMW 6 Series,98201,1,South America,Brazil,Wholesale
20/04/2019,2019,BMW X4,42869,5,North America,Canada,Wholesale
20/04/2019,2019,BMW iX,74974,5,North America,Mexico,Dealership
20/04/2019,2019,BMW M4,110535,5,South America,Argentina,Dealership
20/04/2019,2019,BMW M2,106489,1,Africa,Morocco,Dealership
21/04/2019,2019,BMW i4,79117,5,Asia,India,Dealership
21/04/2019,2019,BMW X1,57609,5,Europe,United Kingdom,Dealership
22/04/2019,2019,BMW X5,93956,2,Africa,Egypt,Wholesale
22/04/2019,2019,BMW 6 Series,32976,1,South America,Brazil,Dealership
22/04/2019,2019,BMW X1,53138,3,Asia,India,Wholesale
22/04/2019,2019,BMW M8,47843,4,Africa,Nigeria,Wholesale
22/04/2019,2019,BMW X5,62559,2,South America,Argentina,Dealership
22/04/2019,2019,BMW M8,108255,5,Asia,India,Dealership
23/04/2019,2019,BMW 1 Series,64162,3,Europe,United Kingdom,Wholesale
,,,,,,,
23/04/2019,2019,BMW M5,59048,3,South America,Argentina,Wholesale
23/04/2019,2019,BMW X3,106347,5,Asia,Thailand,Dealership
23/04/2019,2019,BMW M4,104397,5,South America,Brazil,Wholesale
23/04/2019,2019,BMW M4,81759,2,Asia,Thailand,Wholesale
23/04/2019,2019,BMW M5,48220,1,North America,United States,Wholesale
23/04/2019,2019,BMW 8 Series,31887,2,South America,Brazil,Wholesale
24/04/2019,2019,BMW iX3,93153,1,Africa,Morocco,Wholesale
24/04/2019,2019,BMW X5,44852,3,Europe,France,Dealership
24/04/2019,2019,BMW iX3,86938,4,Europe,United Kingdom,Wholesale
25/04/2019,2019,BMW M8,104398,5,Asia,South Korea,Wholesale
25/04/2019,2019,BMW M8,49351,2,North America,United States,Wholesale
26/04/2019,2019,BMW 5 Series,116506,3,Africa,Morocco,Dealership
26/04/2019,2019,BMW M4,82513,2,South America,Chile,Wholesale
27/04/2019,2019,BMW X4,74619,1,South America,Argentina,Wholesale
27/04/2019,2019,BMW X5,30207,5,North America,Canada,Wholesale
27/04/2019,2019,BMW X1,51400,1,Europe,Spain,Wholesale
27/04/2019,2019,BMW Z4,88822,1,North America,Canada,Wholesale
27/04/2019,2019,BMW 1 Series,70682,1,Asia,Thailand,Dealership
,,,,,,,
28/04/2019,2019,BMW 5 Series,83168,3,North America,Canada,Wholesale
28/04/2019,2019,BMW M8,104873,5,South America,Peru,Wholesale
28/04/2019,2019,BMW M8,62669,4,South America,Brazil,Wholesale
29/04/2019,2019,BMW M2,80354,2,North America,United States,Dealership
30/04/2019,2019,BMW i3,82287,1,North America,United States,Wholesale
01/05/2019,2019,BMW 1 Series,53536,5,South America,Chile,Dealership
,,,,,,,
01/05/2019,2019,BMW M2,105998,2,Europe,Germany,Dealership
02/05/2019,2019,BMW i3,46938,5,Asia,Thailand,Wholesale
02/05/2019,2019,BMW iX,109944,2,South America,Argentina,Wholesale
03/05/2019,2019,BMW X7,117009,5,North America,Mexico,Wholesale
03/05/2019,2019,BMW X5,55724,4,Africa,Egypt,Wholesale
03/05/2019,2019,BMW X3,89379,5,Europe,Germany,Wholesale
03/05/2019,2019,BMW iX,40564,5,Asia,Thailand,Wholesale
04/05/2019,2019,BMW 7 Series,35456,1,Asia,China,Wholesale
04/05/2019,2019,BMW X1,98517,1,Europe,United Kingdom,Wholesale
05/05/2019,2019,BMW M3,94685,1,North America,Mexico,Wholesale
05/05/2019,2019,BMW X1,82018,5,South America,Peru,Dealership
05/05/2019,2019,BMW X5,82214,4,North America,Canada,Dealership
06/05/2019,2019,BMW M5,79954,2,South America,Colombia,Wholesale
08/05/2019,2019,BMW X4,89423,1,Asia,Thailand,Wholesale
08/05/2019,2019,BMW iX,91388,3,Africa,Egypt,Wholesale
08/05/2019,2019,BMW X3,72448,5,Africa,Kenya,Dealership
09/05/2019,2019,BMW 7 Series,32846,4,Asia,Thailand,Wholesale
09/05/2019,2019,BMW X3,100400,4,South America,Peru,Wholesale
09/05/2019,2019,BMW i3,92740,1,Africa,Nigeria,Dealership
09/05/2019,2019,BMW 3 Series,40711,1,Europe,Germany,Wholesale
,,,,,,,
09/05/2019,2019,BMW iX3,95036,3,Asia,Thailand,Dealership
09/05/2019,2019,BMW 8 Series,50563,3,South America,Chile,Wholesale
10/05/2019,2019,BMW i4,62800,1,Africa,Morocco,Wholesale
10/05/2019,2019,BMW 7 Series,75440,2,South America,Peru,Wholesale
11/05/2019,2019,BMW 4 Series,88527,1,North America,United States,Dealership
,,,,,,,
11/05/2019,2019,BMW M5,76546,1,Asia,Thailand,Wholesale
11/05/2019,2019,BMW iX,94547,4,Europe,France,Wholesale
11/05/2019,2019,BMW X7,38712,1,Asia,Japan,Wholesale
11/05/2019,2019,BMW iX,106169,1,South America,Brazil,Wholesale
12/05/2019,2019,BMW M4,53321,1,North America,Mexico,Wholesale
12/05/2019,2019,BMW 6 Series,103746,2,Europe,France,Wholesale
13/05/2019,2019,BMW i3,43806,4,Asia,South Korea,Wholesale
13/05/2019,2019,BMW i4,114683,5,North America,United States,Wholesale
13/05/2019,2019,BMW i4,80117,5,North America,Mexico,Wholesale
13/05/2019,2019,BMW 1 Series,92415,5,Europe,United Kingdom,Wholesale
,,,,,,,
14/05/2019,2019,BMW i3,36732,5,North America,Canada,Dealership
15/05/2019,2019,BMW X3,46972,4,Africa,Nigeria,Wholesale
16/05/2019,2019,BMW M8,93571,1,South America,Colombia,Dealership
